avg,mapped_wreq,1-288,289-576,577-864,865-1152,1153-1440
131,"{""mean"": 132.3, ""bench"": ""new_lr_serving-403fc2732"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews100mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews100mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",0,1,1,1,1
122,"{""mean"": 121.3, ""bench"": ""pyaes-a1eaefa55f5706d00f"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 176}""}",0,1,1,1,1
124,"{""mean"": 124.2, ""bench"": ""chameleon-735d1589b60c31"", ""payload"": ""{\""nrow\"": 184, \""ncol\"": 184}""}",1,1,1,1,1
86,"{""mean"": 86.0, ""bench"": ""pyaes-1314ad9f3c97746397"", ""payload"": ""{\""message_length\"": 544, \""num_iterations\"": 26}""}",1,1,1,1,1
2732,"{""mean"": 2706.3, ""bench"": ""pyaes-f4c6f799a8c04460b5"", ""payload"": ""{\""message_length\"": 3712, \""num_iterations\"": 126}""}",2,1,0,0,0
1013,"{""mean"": 1005.3, ""bench"": ""pyaes-95e9d78c9803ce05d7"", ""payload"": ""{\""message_length\"": 976, \""num_iterations\"": 176}""}",1,1,1,1,1
176,"{""mean"": 174.9, ""bench"": ""json_serdes-60155bbfca3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5248.json\""}""}",0,1,1,1,1
125,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",1,1,1,1,1
453,"{""mean"": 448.7, ""bench"": ""pyaes-34ac01921fa95cb33d"", ""payload"": ""{\""message_length\"": 3008, \""num_iterations\"": 26}""}",0,0,3,0,0
461,"{""mean"": 463.3, ""bench"": ""chameleon-a67cd08e80ba00"", ""payload"": ""{\""nrow\"": 368, \""ncol\"": 368}""}",1,1,1,1,1
159,"{""mean"": 158.2, ""bench"": ""pyaes-0d65410aaddcd1fd15"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 76}""}",0,0,1,1,1
2633,"{""mean"": 2633.3, ""bench"": ""pyaes-6d49d3e64261cb4001"", ""payload"": ""{\""message_length\"": 4480, \""num_iterations\"": 101}""}",1,1,1,1,1
485,"{""mean"": 484.1, ""bench"": ""chameleon-2377c4644e5e28"", ""payload"": ""{\""nrow\"": 376, \""ncol\"": 376}""}",0,1,1,1,1
629,"{""mean"": 622.9, ""bench"": ""pyaes-e946b510f938fef46a"", ""payload"": ""{\""message_length\"": 2112, \""num_iterations\"": 51}""}",0,0,1,1,1
306,"{""mean"": 303.9, ""bench"": ""chameleon-7bb36be2d0d21d"", ""payload"": ""{\""nrow\"": 296, \""ncol\"": 296}""}",1,1,1,1,1
80864,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",1,1,1,1,1
72,"{""mean"": 71.9, ""bench"": ""pyaes-e39c44503dc4bcc7a4"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 226}""}",0,1,1,1,0
3228,"{""mean"": 3209.6, ""bench"": ""pyaes-073f82a00ebd169641"", ""payload"": ""{\""message_length\"": 26624, \""num_iterations\"": 21}""}",1,0,0,1,1
119,"{""mean"": 117.9, ""bench"": ""json_serdes-87f4f6b4073e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""search.json\""}""}",0,1,1,1,1
2314,"{""mean"": 2329.5, ""bench"": ""chameleon-1cf10f889b443a"", ""payload"": ""{\""nrow\"": 832, \""ncol\"": 832}""}",1,0,1,1,1
74,"{""mean"": 73.8, ""bench"": ""pyaes-a2bff0c0d366655b4b"", ""payload"": ""{\""message_length\"": 144, \""num_iterations\"": 76}""}",1,1,1,1,1
492,"{""mean"": 488.7, ""bench"": ""pyaes-ff4a9b49d281b97bc4"", ""payload"": ""{\""message_length\"": 3264, \""num_iterations\"": 26}""}",0,0,2,0,0
142,"{""mean"": 141.1, ""bench"": ""pyaes-6043762fb4e330639b"", ""payload"": ""{\""message_length\"": 22528, \""num_iterations\"": 1}""}",0,1,1,1,0
173,"{""mean"": 171.7, ""bench"": ""pyaes-d78d2eabc4130e2d13"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 251}""}",0,0,1,1,1
219,"{""mean"": 220.7, ""bench"": ""json_serdes-074f2a064b17"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6784.json\""}""}",0,0,0,1,1
1750,"{""mean"": 1739.3, ""bench"": ""chameleon-27b70e30fb06c6"", ""payload"": ""{\""nrow\"": 720, \""ncol\"": 720}""}",1,1,1,1,1
46,"{""mean"": 46.0, ""bench"": ""pyaes-aa1b3da5b10e2862a0"", ""payload"": ""{\""message_length\"": 7232, \""num_iterations\"": 1}""}",0,0,1,1,1
195,"{""mean"": 193.8, ""bench"": ""pyaes-56aaeac9934c9d1097"", ""payload"": ""{\""message_length\"": 240, \""num_iterations\"": 126}""}",0,0,1,1,1
117,"{""mean"": 117.9, ""bench"": ""json_serdes-87f4f6b4073e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""search.json\""}""}",1,1,1,1,1
89,"{""mean"": 89.4, ""bench"": ""json_serdes-7ade72e2060b"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2560.json\""}""}",1,1,1,0,1
51,"{""mean"": 50.6, ""bench"": ""new_lr_serving-fe03e8302"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews10mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews10mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",1,0,1,1,1
90,"{""mean"": 89.4, ""bench"": ""json_serdes-7ade72e2060b"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2560.json\""}""}",1,1,1,1,1
167,"{""mean"": 167.0, ""bench"": ""chameleon-83fbfc1b3862b6"", ""payload"": ""{\""nrow\"": 216, \""ncol\"": 216}""}",0,1,1,0,0
201,"{""mean"": 199.7, ""bench"": ""json_serdes-1499ec562029"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6016.json\""}""}",0,0,1,1,1
179,"{""mean"": 178.8, ""bench"": ""cnn_serving_geol-c606f6a"", ""payload"": ""{\""img_idx\"": 1}""}",0,0,1,1,0
274,"{""mean"": 272.9, ""bench"": ""chameleon-61ea3a2d41e6e4"", ""payload"": ""{\""nrow\"": 280, \""ncol\"": 280}""}",0,0,1,1,0
546,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",0,0,0,2,0
44,"{""mean"": 44.4, ""bench"": ""chameleon-c6c4954e7213ea"", ""payload"": ""{\""nrow\"": 100, \""ncol\"": 100}""}",0,1,1,1,0
101,"{""mean"": 100.1, ""bench"": ""pyaes-22afe1151dd1638b89"", ""payload"": ""{\""message_length\"": 15872, \""num_iterations\"": 1}""}",0,1,1,1,0
78,"{""mean"": 77.6, ""bench"": ""json_serdes-b9511188d251"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2176.json\""}""}",0,0,1,1,0
185,"{""mean"": 185.0, ""bench"": ""json_serdes-5e5e016ad2a6"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5632.json\""}""}",0,0,0,2,0
27,"{""mean"": 27.1, ""bench"": ""chameleon-ac48fff161ac8b"", ""payload"": ""{\""nrow\"": 68, \""ncol\"": 68}""}",0,1,1,1,0
39,"{""mean"": 39.0, ""bench"": ""pyaes-eb5eeb2692ad705449"", ""payload"": ""{\""message_length\"": 6144, \""num_iterations\"": 1}""}",0,0,0,1,1
321,"{""mean"": 319.4, ""bench"": ""chameleon-eeb3139bf32dc5"", ""payload"": ""{\""nrow\"": 304, \""ncol\"": 304}""}",1,1,0,0,0
807,"{""mean"": 807.3, ""bench"": ""chameleon-e1fd5fd55a0f02"", ""payload"": ""{\""nrow\"": 488, \""ncol\"": 488}""}",0,0,1,1,1
100,"{""mean"": 99.4, ""bench"": ""new_lr_serving-5bb35e320"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews50mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews50mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",1,0,0,1,1
93,"{""mean"": 92.7, ""bench"": ""pyaes-19887fa212e1a63b90"", ""payload"": ""{\""message_length\"": 48, \""num_iterations\"": 226}""}",0,1,1,1,1
527,"{""mean"": 524.6, ""bench"": ""chameleon-051ce101935ff3"", ""payload"": ""{\""nrow\"": 392, \""ncol\"": 392}""}",1,0,0,0,0
260,"{""mean"": 257.4, ""bench"": ""pyaes-0769f5fd6c82cc3191"", ""payload"": ""{\""message_length\"": 560, \""num_iterations\"": 76}""}",0,0,1,0,1
2935,"{""mean"": 2910.2, ""bench"": ""pyaes-1abd87229ca1fa9fd9"", ""payload"": ""{\""message_length\"": 6592, \""num_iterations\"": 76}""}",0,0,1,1,0
902,"{""mean"": 893.5, ""bench"": ""pyaes-8fe94f456dadae6c27"", ""payload"": ""{\""message_length\"": 864, \""num_iterations\"": 176}""}",0,1,1,1,0
41,"{""mean"": 41.0, ""bench"": ""json_serdes-6391d6a86064"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""2.json\""}""}",1,0,0,0,1
65,"{""mean"": 65.0, ""bench"": ""new_lr_serving-231155e15"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews20mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews20mb.pk\"", \""x\"": \""My favorite cafe. I like going there on weekends, always taking a cafe and some of their pastry before visiting my parents.  \""}""}",0,0,0,0,1
315,"{""mean"": 314.3, ""bench"": ""pyaes-52e1973aeee038c41a"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 151}""}",0,0,0,0,1
5313,"{""mean"": 5266.7, ""bench"": ""pyaes-7ded116b6333314138"", ""payload"": ""{\""message_length\"": 29696, \""num_iterations\"": 31}""}",0,0,1,1,0
256,"{""mean"": 256.3, ""bench"": ""json_serdes-b4de0d2b5b15"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n7936.json\""}""}",0,0,0,0,1
190,"{""mean"": 191.7, ""bench"": ""chameleon-9ce0dddd6e471e"", ""payload"": ""{\""nrow\"": 232, \""ncol\"": 232}""}",1,1,0,0,0
475,"{""mean"": 470.3, ""bench"": ""pyaes-a1c359ada02ca9b8d5"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 226}""}",1,0,0,0,1
165,"{""mean"": 164.1, ""bench"": ""pyaes-ed7511b8a2c3b12440"", ""payload"": ""{\""message_length\"": 528, \""num_iterations\"": 51}""}",1,0,0,0,0
218,"{""mean"": 216.1, ""bench"": ""chameleon-6ed55e1932e7ab"", ""payload"": ""{\""nrow\"": 248, \""ncol\"": 248}""}",0,0,0,1,1
194,"{""mean"": 193.8, ""bench"": ""pyaes-56aaeac9934c9d1097"", ""payload"": ""{\""message_length\"": 240, \""num_iterations\"": 126}""}",0,0,1,1,0
947,"{""mean"": 942.6, ""bench"": ""chameleon-12494c681d4610"", ""payload"": ""{\""nrow\"": 528, \""ncol\"": 528}""}",0,1,0,0,0
84,"{""mean"": 84.0, ""bench"": ""pyaes-33a6789136aedba281"", ""payload"": ""{\""message_length\"": 528, \""num_iterations\"": 26}""}",0,0,1,1,0
602,"{""mean"": 596.2, ""bench"": ""pyaes-a973e34872f97e3aac"", ""payload"": ""{\""message_length\"": 1008, \""num_iterations\"": 101}""}",0,1,1,0,0
150,"{""mean"": 149.0, ""bench"": ""pyaes-82dc8cbab72f4ddf36"", ""payload"": ""{\""message_length\"": 976, \""num_iterations\"": 26}""}",1,0,0,1,0
344,"{""mean"": 341.3, ""bench"": ""pyaes-2a4c28a87dfa156e09"", ""payload"": ""{\""message_length\"": 752, \""num_iterations\"": 76}""}",0,0,0,0,1
1018,"{""mean"": 1008.1, ""bench"": ""pyaes-b75830ff975b5bab42"", ""payload"": ""{\""message_length\"": 6656, \""num_iterations\"": 26}""}",0,1,0,0,0
29,"{""mean"": 29.0, ""bench"": ""pyaes-bffec0970e9034a153"", ""payload"": ""{\""message_length\"": 4544, \""num_iterations\"": 1}""}",0,0,1,0,0
102,"{""mean"": 102.4, ""bench"": ""json_serdes-cdefb462b209"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2944.json\""}""}",0,0,1,0,0
67,"{""mean"": 66.6, ""bench"": ""json_serdes-1109c8561c7e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n1792.json\""}""}",0,0,0,0,1
326,"{""mean"": 327.4, ""bench"": ""json_serdes-8477692692fb"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n10240.json\""}""}",0,0,0,1,1
123,"{""mean"": 124.2, ""bench"": ""chameleon-735d1589b60c31"", ""payload"": ""{\""nrow\"": 184, \""ncol\"": 184}""}",0,0,1,0,0
62,"{""mean"": 62.1, ""bench"": ""chameleon-2b1f3dd81ea572"", ""payload"": ""{\""nrow\"": 124, \""ncol\"": 124}""}",0,0,0,1,0
103,"{""mean"": 102.4, ""bench"": ""json_serdes-cdefb462b209"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2944.json\""}""}",0,0,1,1,0
1925,"{""mean"": 1938.0, ""bench"": ""chameleon-3bf9920b79be8f"", ""payload"": ""{\""nrow\"": 760, \""ncol\"": 760}""}",0,0,0,1,1
476,"{""mean"": 473.6, ""bench"": ""pyaes-7893bd8f2d37078c7a"", ""payload"": ""{\""message_length\"": 624, \""num_iterations\"": 126}""}",0,0,1,1,0
108,"{""mean"": 107.0, ""bench"": ""pyaes-1fcaf92cb9fca60728"", ""payload"": ""{\""message_length\"": 160, \""num_iterations\"": 101}""}",0,1,0,0,0
136,"{""mean"": 135.2, ""bench"": ""cnn_serving_geol-f9eecf9"", ""payload"": ""{\""img_idx\"": 0}""}",0,0,1,0,0
323,"{""mean"": 321.1, ""bench"": ""pyaes-e03a12ab512ee73bd7"", ""payload"": ""{\""message_length\"": 704, \""num_iterations\"": 76}""}",0,0,0,0,1
625,"{""mean"": 620.1, ""bench"": ""pyaes-441daaf29a5c72b501"", ""payload"": ""{\""message_length\"": 4096, \""num_iterations\"": 26}""}",1,0,0,0,0
236,"{""mean"": 234.2, ""bench"": ""pyaes-3cf2febf39f5ade173"", ""payload"": ""{\""message_length\"": 208, \""num_iterations\"": 176}""}",0,0,0,1,0
2758,"{""mean"": 2741.1, ""bench"": ""pyaes-1d211d28ec9182010d"", ""payload"": ""{\""message_length\"": 6208, \""num_iterations\"": 76}""}",0,0,0,1,1
67890,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",0,0,0,1,1
153,"{""mean"": 151.5, ""bench"": ""pyaes-af7bdfdea42611da8f"", ""payload"": ""{\""message_length\"": 320, \""num_iterations\"": 76}""}",0,0,0,1,1
466,"{""mean"": 469.2, ""bench"": ""json_serdes-b0be75f6222a"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n14848.json\""}""}",0,0,0,1,1
1435,"{""mean"": 1443.3, ""bench"": ""chameleon-336b0d74e678b1"", ""payload"": ""{\""nrow\"": 656, \""ncol\"": 656}""}",0,0,0,1,0
255,"{""mean"": 256.3, ""bench"": ""json_serdes-b4de0d2b5b15"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n7936.json\""}""}",0,0,0,1,0
729,"{""mean"": 728.7, ""bench"": ""chameleon-ef70f02f209686"", ""payload"": ""{\""nrow\"": 464, \""ncol\"": 464}""}",0,1,0,0,0
248,"{""mean"": 248.0, ""bench"": ""pyaes-38b7fbcb6d0b1e303a"", ""payload"": ""{\""message_length\"": 400, \""num_iterations\"": 101}""}",0,0,0,1,0
275,"{""mean"": 272.9, ""bench"": ""chameleon-61ea3a2d41e6e4"", ""payload"": ""{\""nrow\"": 280, \""ncol\"": 280}""}",0,0,0,1,0
706,"{""mean"": 706.3, ""bench"": ""chameleon-33734646b79746"", ""payload"": ""{\""nrow\"": 456, \""ncol\"": 456}""}",0,0,1,0,0
327,"{""mean"": 327.4, ""bench"": ""json_serdes-8477692692fb"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n10240.json\""}""}",0,0,0,1,0
1090,"{""mean"": 1091.4, ""bench"": ""chameleon-ce9cc4f327d1f6"", ""payload"": ""{\""nrow\"": 568, \""ncol\"": 568}""}",0,0,0,0,1
128,"{""mean"": 127.0, ""bench"": ""pyaes-589d7b6cecf98c4c8a"", ""payload"": ""{\""message_length\"": 64, \""num_iterations\"": 251}""}",0,0,1,0,0
2801,"{""mean"": 2794.1, ""bench"": ""chameleon-c61856413a5b40"", ""payload"": ""{\""nrow\"": 912, \""ncol\"": 912}""}",0,0,0,0,1
2445,"{""mean"": 2420.8, ""bench"": ""pyaes-0dc455a254392d9922"", ""payload"": ""{\""message_length\"": 19968, \""num_iterations\"": 21}""}",1,0,0,0,0
146,"{""mean"": 146.3, ""bench"": ""chameleon-092b841af2ffcd"", ""payload"": ""{\""nrow\"": 200, \""ncol\"": 200}""}",1,0,0,0,0
923,"{""mean"": 917.5, ""bench"": ""pyaes-b5de45aa3ad8c170b0"", ""payload"": ""{\""message_length\"": 14336, \""num_iterations\"": 11}""}",0,0,0,0,1
363,"{""mean"": 360.2, ""bench"": ""pyaes-3e7a93d91dfdbc3b46"", ""payload"": ""{\""message_length\"": 592, \""num_iterations\"": 101}""}",0,0,0,0,1
778,"{""mean"": 781.0, ""bench"": ""video_processing-0db4925"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""vid_name\"": \""big_buck_bunny_240p_2mb.mp4\""}""}",0,1,0,0,0
18783,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",0,1,0,0,0
1147,"{""mean"": 1150.0, ""bench"": ""chameleon-2429c9fc2fc77c"", ""payload"": ""{\""nrow\"": 584, \""ncol\"": 584}""}",0,0,1,0,0
4205,"{""mean"": 4175.9, ""bench"": ""chameleon-b6858e3daaf274"", ""payload"": ""{\""nrow\"": 1120, \""ncol\"": 1120}""}",1,0,0,0,0
731,"{""mean"": 728.7, ""bench"": ""chameleon-ef70f02f209686"", ""payload"": ""{\""nrow\"": 464, \""ncol\"": 464}""}",0,1,0,0,0
8607,"{""mean"": 8658.3, ""bench"": ""pyaes-b5ab16c6c6f08c6022"", ""payload"": ""{\""message_length\"": 29696, \""num_iterations\"": 51}""}",0,1,0,0,0
1510,"{""mean"": 1522.9, ""bench"": ""chameleon-ff8896a9f94721"", ""payload"": ""{\""nrow\"": 672, \""ncol\"": 672}""}",0,0,1,0,0
184,"{""mean"": 185.0, ""bench"": ""json_serdes-5e5e016ad2a6"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5632.json\""}""}",0,0,0,1,0
51641,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",1,0,0,0,0
3109,"{""mean"": 3083.3, ""bench"": ""chameleon-a28242c8ad67c2"", ""payload"": ""{\""nrow\"": 960, \""ncol\"": 960}""}",0,0,0,0,1
